inv_date,invoice_number,account,part_number,qty,sell_price,total_sale_value,disc,cost_price,total_cost_value,profit
3/22/2016,INV7795801,ELEMERA,P511006,1,40.0482,40.0482,36,34.441452,34.441452,5.606748
12/4/2016,INV7795597,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
12/4/2016,INV7795597,ELEMERA,P490713,1,501.8508,501.8508,36,431.591688,431.591688,70.259112
12/4/2016,INV7795597,ELEMERA,P718639,2,21.0159,42.0318,36,18.073674,36.147348,5.884452
5/19/2016,INV7795261,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
5/19/2016,INV7795261,ELEMERA,P296143,2,12.7053,25.4106,36,10.926558,21.853116,3.557484
5/19/2016,INV7795261,ELEMERA,P350627,4,221.8383,887.3532,36,190.780938,763.123752,124.229448
7/21/2016,INV7794616,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
7/21/2016,INV7794616,ELEMERA,P253339,2,247.95,495.9,36,213.237,426.474,69.426
7/21/2016,INV7794616,ELEMERA,P281184,2,31.2588,62.5176,36,26.882568,53.765136,8.752464
7/21/2016,INV7794616,ELEMERA,P863218,4,21.1356,84.5424,36,18.176616,72.706464,11.835936
7/21/2016,INV7794616,ELEMERA,P296143,2,12.7053,25.4106,36,10.926558,21.853116,3.557484
7/21/2016,INV7794616,ELEMERA,P694588,4,14.6889,58.7556,36,12.632454,50.529816,8.225784
11/17/2016,INV7793484,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
11/17/2016,INV7793484,ELEMERA,P253339,4,247.95,991.8,36,213.237,852.948,138.852
11/17/2016,INV7793484,ELEMERA,P489329,1,683.9829,683.9829,36,588.225294,588.225294,95.757606
11/17/2016,INV7793484,ELEMERA,P296143,2,12.7053,25.4106,36,10.926558,21.853116,3.557484
11/17/2016,INV7793484,ELEMERA,P529450,1,1093.7331,1093.7331,36,940.610466,940.610466,153.122634
11/17/2016,INV7793484,ELEMERA,P794615,5,13.2183,66.0915,36,11.367738,56.83869,9.25281
11/17/2016,INV7793484,ELEMERA,P166334,2,15.6636,31.3272,36,13.470696,26.941392,4.385808
11/17/2016,INV7793484,ELEMERA,P660682,2,6.8229,13.6458,36,5.867694,11.735388,1.910412
11/17/2016,INV7793484,ELEMERA,P315997,1,17.1855,17.1855,36,14.77953,14.77953,2.40597
11/17/2016,INV7793484,ELEMERA,P965332,1,27.2403,27.2403,36,23.426658,23.426658,3.813642
8/12/2016,INV7793291,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
1/31/2017,INV7792966,ELEMERA,P405890,4,89.433,357.732,36,76.91238,307.64952,50.08248
1/31/2017,INV7792966,ELEMERA,P155900,2,62.0559,124.1118,36,53.368074,106.736148,17.375652
1/31/2017,INV7792966,ELEMERA,P155900,2,62.0559,124.1118,36,53.368074,106.736148,17.375652
1/31/2017,INV7792966,ELEMERA,P423659,6,44.2548,265.5288,36,38.059128,228.354768,37.174032
1/31/2017,INV7792966,ELEMERA,P423659,2,44.2548,88.5096,36,38.059128,76.118256,12.391344
